,dates,weekday,end_of_week,end_of_month
676,2015-02-05,3,False,False
677,2015-02-06,4,True,False
678,2015-02-09,0,False,False
679,2015-02-10,1,False,False
680,2015-02-11,2,False,False
681,2015-02-12,3,False,False
682,2015-02-13,4,True,False
683,2015-02-17,1,False,False
684,2015-02-18,2,False,False
685,2015-02-19,3,False,False
686,2015-02-20,4,True,False
687,2015-02-23,0,False,False
688,2015-02-24,1,False,False
689,2015-02-25,2,False,False
690,2015-02-26,3,False,False
691,2015-02-27,4,True,True
692,2015-03-02,0,False,False
693,2015-03-03,1,False,False
694,2015-03-04,2,False,False
695,2015-03-05,3,False,False
696,2015-03-06,4,True,False
697,2015-03-09,0,False,False
698,2015-03-10,1,False,False
699,2015-03-11,2,False,False
700,2015-03-12,3,False,False
701,2015-03-13,4,True,False
702,2015-03-16,0,False,False
703,2015-03-17,1,False,False
704,2015-03-18,2,False,False
705,2015-03-19,3,False,False
706,2015-03-20,4,True,False
707,2015-03-23,0,False,False
708,2015-03-24,1,False,False
709,2015-03-25,2,False,False
710,2015-03-26,3,False,False
711,2015-03-27,4,True,False
712,2015-03-30,0,False,False
713,2015-03-31,1,False,True
714,2015-04-01,2,False,False
715,2015-04-02,3,False,False
716,2015-04-06,0,False,False
717,2015-04-07,1,False,False
718,2015-04-08,2,False,False
719,2015-04-09,3,False,False
720,2015-04-10,4,True,False
721,2015-04-13,0,False,False
722,2015-04-14,1,False,False
723,2015-04-15,2,False,False
724,2015-04-16,3,False,False
725,2015-04-17,4,True,False
726,2015-04-20,0,False,False
727,2015-04-21,1,False,False
728,2015-04-22,2,False,False
729,2015-04-23,3,False,False
730,2015-04-24,4,True,False
731,2015-04-27,0,False,False
732,2015-04-28,1,False,False
733,2015-04-29,2,False,False
734,2015-04-30,3,False,True
735,2015-05-01,4,True,False
736,2015-05-04,0,False,False
737,2015-05-05,1,False,False
738,2015-05-06,2,False,False
739,2015-05-07,3,False,False
740,2015-05-08,4,True,False
741,2015-05-11,0,False,False
742,2015-05-12,1,False,False
743,2015-05-13,2,False,False
744,2015-05-14,3,False,False
745,2015-05-15,4,True,False
746,2015-05-18,0,False,False
747,2015-05-19,1,False,False
748,2015-05-20,2,False,False
749,2015-05-21,3,False,False
750,2015-05-22,4,True,False
751,2015-05-26,1,False,False
752,2015-05-27,2,False,False
753,2015-05-28,3,False,False
754,2015-05-29,4,True,True
755,2015-06-01,0,False,False
756,2015-06-02,1,False,False
757,2015-06-03,2,False,False
758,2015-06-04,3,False,False
759,2015-06-05,4,True,False
760,2015-06-08,0,False,False
761,2015-06-09,1,False,False
762,2015-06-10,2,False,False
763,2015-06-11,3,False,False
764,2015-06-12,4,True,False
765,2015-06-15,0,False,False
766,2015-06-16,1,False,False
767,2015-06-17,2,False,False
768,2015-06-18,3,False,False
769,2015-06-19,4,True,False
770,2015-06-22,0,False,False
771,2015-06-23,1,False,False
772,2015-06-24,2,False,False
773,2015-06-25,3,False,False
774,2015-06-26,4,True,False
775,2015-06-29,0,False,False
776,2015-06-30,1,False,True
777,2015-07-01,2,False,False
778,2015-07-02,3,False,False
779,2015-07-06,0,False,False
780,2015-07-07,1,False,False
781,2015-07-08,2,False,False
782,2015-07-09,3,False,False
783,2015-07-10,4,True,False
784,2015-07-13,0,False,False
785,2015-07-14,1,False,False
786,2015-07-15,2,False,False
787,2015-07-16,3,False,False
788,2015-07-17,4,True,False
789,2015-07-20,0,False,False
790,2015-07-21,1,False,False
791,2015-07-22,2,False,False
792,2015-07-23,3,False,False
793,2015-07-24,4,True,False
794,2015-07-27,0,False,False
795,2015-07-28,1,False,False
796,2015-07-29,2,False,False
797,2015-07-30,3,False,False
798,2015-07-31,4,True,True
799,2015-08-03,0,False,False
800,2015-08-04,1,False,False
801,2015-08-05,2,False,False
802,2015-08-06,3,False,False
803,2015-08-07,4,True,False
804,2015-08-10,0,False,False
805,2015-08-11,1,False,False
806,2015-08-12,2,False,False
807,2015-08-13,3,False,False
808,2015-08-14,4,True,False
809,2015-08-17,0,False,False
810,2015-08-18,1,False,False
811,2015-08-19,2,False,False
812,2015-08-20,3,False,False
813,2015-08-21,4,True,False
814,2015-08-24,0,False,False
815,2015-08-25,1,False,False
816,2015-08-26,2,False,False
817,2015-08-27,3,False,False
818,2015-08-28,4,True,False
819,2015-08-31,0,False,True
820,2015-09-01,1,False,False
821,2015-09-02,2,False,False
822,2015-09-03,3,False,False
823,2015-09-04,4,True,False
824,2015-09-08,1,False,False
825,2015-09-09,2,False,False
826,2015-09-10,3,False,False
827,2015-09-11,4,True,False
828,2015-09-14,0,False,False
829,2015-09-15,1,False,False
830,2015-09-16,2,False,False
831,2015-09-17,3,False,False
832,2015-09-18,4,True,False
833,2015-09-21,0,False,False
834,2015-09-22,1,False,False
835,2015-09-23,2,False,False
836,2015-09-24,3,False,False
837,2015-09-25,4,True,False
838,2015-09-28,0,False,False
839,2015-09-29,1,False,False
840,2015-09-30,2,False,True
841,2015-10-01,3,False,False
842,2015-10-02,4,True,False
843,2015-10-05,0,False,False
844,2015-10-06,1,False,False
845,2015-10-07,2,False,False
846,2015-10-08,3,False,False
847,2015-10-09,4,True,False
848,2015-10-12,0,False,False
849,2015-10-13,1,False,False
850,2015-10-14,2,False,False
851,2015-10-15,3,False,False
852,2015-10-16,4,True,False
853,2015-10-19,0,False,False
854,2015-10-20,1,False,False
855,2015-10-21,2,False,False
856,2015-10-22,3,False,False
857,2015-10-23,4,True,False
858,2015-10-26,0,False,False
859,2015-10-27,1,False,False
860,2015-10-28,2,False,False
861,2015-10-29,3,False,False
862,2015-10-30,4,True,True
863,2015-11-02,0,False,False
864,2015-11-03,1,False,False
865,2015-11-04,2,False,False
866,2015-11-05,3,False,False
867,2015-11-06,4,True,False
868,2015-11-09,0,False,False
869,2015-11-10,1,False,False
870,2015-11-11,2,False,False
871,2015-11-12,3,False,False
872,2015-11-13,4,True,False
873,2015-11-16,0,False,False
874,2015-11-17,1,False,False
875,2015-11-18,2,False,False
876,2015-11-19,3,False,False
877,2015-11-20,4,True,False
878,2015-11-23,0,False,False
879,2015-11-24,1,False,False
880,2015-11-25,2,False,False
881,2015-11-27,4,True,False
882,2015-11-30,0,False,True
883,2015-12-01,1,False,False
884,2015-12-02,2,False,False
885,2015-12-03,3,False,False
886,2015-12-04,4,True,False
887,2015-12-07,0,False,False
888,2015-12-08,1,False,False
889,2015-12-09,2,False,False
890,2015-12-10,3,False,False
891,2015-12-11,4,True,False
892,2015-12-14,0,False,False
893,2015-12-15,1,False,False
894,2015-12-16,2,False,False
895,2015-12-17,3,False,False
896,2015-12-18,4,True,False
897,2015-12-21,0,False,False
898,2015-12-22,1,False,False
899,2015-12-23,2,False,False
900,2015-12-24,3,False,False
901,2015-12-28,0,False,False
902,2015-12-29,1,False,False
903,2015-12-30,2,False,False
904,2015-12-31,3,False,True
905,2016-01-04,0,False,False
906,2016-01-05,1,False,False
907,2016-01-06,2,False,False
908,2016-01-07,3,False,False
909,2016-01-08,4,True,False
910,2016-01-11,0,False,False
911,2016-01-12,1,False,False
912,2016-01-13,2,False,False
913,2016-01-14,3,False,False
914,2016-01-15,4,True,False
915,2016-01-19,1,False,False
916,2016-01-20,2,False,False
917,2016-01-21,3,False,False
918,2016-01-22,4,True,False
919,2016-01-25,0,False,False
920,2016-01-26,1,False,False
921,2016-01-27,2,False,False
922,2016-01-28,3,False,False
923,2016-01-29,4,True,True
924,2016-02-01,0,False,False
