,SOFR30DAYAVG,SOFR,EFFR,AAA,DBAA,T10YIE,T5YIE,MORTGAGE30US,DGS30,DGS1,BAMLH0A0HYM2EY,SOFRVOL,RECPROUSM156N,SAHMREALTIME,ab_bond_spread,junk_bond_spread,int_spread
2010-10-22,,,0.0,0.0,0.0,0.020000000000000018,0.040000000000000036,0.0,-0.010000000000000231,-0.010000000000000009,-0.019999999999999574,,0.12,0.07,1.0899999999999999,2.7200000000000006,3.73
2010-10-25,,,0.0,0.0,-0.04999999999999982,0.050000000000000266,0.06000000000000005,0.0,-0.029999999999999805,0.020000000000000018,-0.05000000000000071,,0.12,0.07,1.04,2.67,3.68
2010-10-26,,,0.0,0.0,0.08000000000000007,0.009999999999999787,0.009999999999999787,0.0,0.08999999999999986,0.0,-0.040000000000000036,,0.12,0.07,1.12,2.63,3.77
2010-10-27,,,0.0,0.0,0.040000000000000036,-0.020000000000000018,-0.039999999999999813,0.0,0.05999999999999961,0.0,-0.009999999999999787,,0.12,0.07,1.1600000000000001,2.62,3.8299999999999996
2010-10-28,,,0.0,0.0,0.009999999999999787,-0.009999999999999787,-0.07000000000000006,0.020000000000000462,-0.009999999999999787,0.0,-0.03000000000000025,,0.12,0.07,1.17,2.59,3.82
2010-10-29,,,0.010000000000000009,0.0,-0.0699999999999994,0.009999999999999787,-0.040000000000000036,0.0,-0.05999999999999961,-0.010000000000000009,0.0,,0.12,0.07,1.1000000000000005,2.59,3.77
2010-10-31,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,,0.12,0.07,1.1000000000000005,2.75,3.77
2010-11-01,,,0.0,0.1900000000000004,0.009999999999999787,0.040000000000000036,0.030000000000000027,0.0,0.019999999999999574,0.0,0.010000000000000675,,0.14,0.13,0.9199999999999999,2.5700000000000003,3.7899999999999996
2010-11-02,,,0.0,0.0,-0.08000000000000007,-0.029999999999999805,-0.020000000000000018,0.0,-0.07999999999999963,0.0,-0.03000000000000025,,0.14,0.13,0.8399999999999999,2.54,3.71
2010-11-03,,,0.0,0.0,0.1200000000000001,0.029999999999999805,0.020000000000000018,0.0,0.1599999999999997,0.0,-0.03000000000000025,,0.14,0.13,0.96,2.51,3.8699999999999997
2010-11-04,,,-0.010000000000000009,0.0,-0.0600000000000005,-0.08000000000000007,0.010000000000000009,0.009999999999999787,-0.04999999999999982,-0.010000000000000009,-0.1299999999999999,,0.14,0.13,0.8999999999999995,2.38,3.83
2010-11-05,,,-0.010000000000000009,0.0,0.08000000000000007,0.010000000000000231,0.050000000000000044,0.0,0.08000000000000007,0.010000000000000009,-0.04999999999999982,,0.14,0.13,0.9799999999999995,2.33,3.9
2010-11-08,,,0.0,0.0,0.0,0.020000000000000018,0.010000000000000009,0.0,0.0,0.0,-0.009999999999999787,,0.14,0.13,0.9799999999999995,2.3200000000000003,3.9
2010-11-09,,,-0.009999999999999981,0.0,0.1200000000000001,0.020000000000000018,0.0,0.0,0.1299999999999999,0.01999999999999999,-0.010000000000000675,,0.14,0.13,1.0999999999999996,2.3099999999999996,4.01
2010-11-10,,,0.0,0.0,-0.009999999999999787,-0.050000000000000266,0.020000000000000018,0.0,0.0,0.0,0.07000000000000028,,0.14,0.13,1.0899999999999999,2.38,4.01
2010-11-11,,,0.0,0.0,0.009999999999999787,0.0,0.0,-0.07000000000000028,0.0,0.0,0.0,,0.14,0.13,1.0999999999999996,2.38,4.01
2010-11-12,,,0.01999999999999999,0.0,0.03000000000000025,-0.040000000000000036,-0.030000000000000027,0.0,0.009999999999999787,0.030000000000000027,0.11000000000000032,,0.14,0.13,1.13,2.49,3.9899999999999998
2010-11-15,,,0.01999999999999999,0.0,0.1200000000000001,0.0,0.0,0.0,0.1200000000000001,0.019999999999999962,0.040000000000000036,,0.14,0.13,1.25,2.5300000000000002,4.09
2010-11-16,,,0.0,0.0,-0.1200000000000001,-0.06999999999999984,-0.08000000000000007,0.0,-0.1200000000000001,-0.019999999999999962,0.1899999999999995,,0.14,0.13,1.13,2.7199999999999998,3.9899999999999998
