,EFFR,FEDFUNDS,CSUSHPINSA,T10YIEM,T5YIEM,PSAVERT,CIVPART,TB3MS,REAINTRATREARAT10Y,MORTGAGE30US,IPUTIL,GASREGW,T10Y3MM,UNRATE,H8B1058NCBCMG,RECPROUSM156N,SAHMREALTIME,CSUSHPINSA,INDPRO,HOUST,TOTALSA,MSACSR,DSPIC96,RSXFS,PMSAVE
2015-08-31,0.0,0.010000000000000009,0.4420000000000073,-0.20999999999999996,-0.26,0.0,0.0,0.04000000000000001,-0.11876934000000006,-0.14000000000000012,0.0032379237087858392,-0.08561020036429878,2.1,5.1,6.1,0.48,-0.13,0.002532994836587532,-0.001592400786507575,-0.013961605584642212,0.005572248019666715,-0.03846153846153855,0.0023116007835426444,-0.0006180469715698633,0.00039908211114436654
2015-09-30,-0.009999999999999995,0.0,0.1069999999999709,-0.09000000000000008,-0.07000000000000006,0.10000000000000053,-0.20000000000000284,-0.05,-0.03584564999999995,0.020000000000000018,0.009724077804524667,-0.07490039840637441,2.15,5.0,2.9,0.72,-0.07,0.0006116417722747958,-0.0029075469417757516,0.08318584070796464,-0.007279839191611903,0.18000000000000016,0.0027780065743658877,-0.005382345103599473,0.022040490675176994
2015-10-30,0.0,-0.020000000000000018,0.006000000000028649,-0.020000000000000018,0.020000000000000018,0.09999999999999964,0.10000000000000142,0.0,0.016311799999999987,-0.10000000000000009,-0.014019329622218746,-0.040482342807924176,2.05,5.0,5.9,0.92,-0.1,3.42767044092529e-05,-0.0046060285720814775,-0.1356209150326797,-5.472555135999091e-05,-0.05084745762711873,0.0020758661887694263,-0.0034753728759152613,0.017466822794691694
2015-11-30,0.009999999999999995,0.0,0.09299999999998931,0.07000000000000006,0.09000000000000008,-0.20000000000000018,0.0,0.09999999999999999,0.13743399,0.1900000000000004,-0.026716785338196436,-0.07585278276481155,2.13,5.1,2.8,1.3,-0.03,0.0005312707081324142,-0.007475014248341405,0.10775047258979198,0.0026269702276708884,-0.017857142857142794,-0.00015648519351996182,0.0042965916411763505,-0.03068955596048717
2015-12-31,0.12000000000000001,0.12,-0.025999999999982037,-0.06000000000000005,-0.030000000000000027,0.10000000000000053,0.20000000000000284,0.11000000000000001,-0.018783470000000024,0.05999999999999961,-0.019058605801415385,-0.012141816415735973,2.01,5.0,-3.4,1.0,-0.03,-0.0001484484284448584,-0.005020203503281473,-0.022184300341296925,-0.04519650655021834,-0.07272727272727275,0.004792177496888428,0.0021870896050106836,0.016721084396952524
2016-01-29,0.08999999999999997,0.10000000000000003,-0.07900000000003615,-0.09000000000000008,-0.050000000000000044,0.2999999999999998,0.0,0.03,0.08708373999999997,-0.21999999999999975,0.0408258244940336,-0.08751229105211389,1.83,4.8,3.5,0.66,-0.03,-0.00045112180859896434,0.005223420491413888,-0.04712041884816753,0.03304367710953571,0.0980392156862746,0.0036789793799139048,-0.005896791036877569,0.041650447644998145
2016-02-29,0.0,0.03999999999999998,0.24500000000000455,-0.10999999999999988,-0.10999999999999988,-0.5,0.09999999999999432,0.04999999999999999,-0.1957679699999999,-0.16999999999999993,-0.0027249786703748002,-0.0393318965517242,1.47,4.9,6.6,0.74,-0.03,0.001399680073126186,-0.00545166797713148,0.1217948717948718,0.0005534034311012181,-0.017857142857142794,0.001071565816311404,0.008086472016750834,-0.06025784753363239
2016-03-31,-0.03999999999999998,-0.020000000000000018,1.3190000000000168,0.24,0.32999999999999985,0.39999999999999947,0.20000000000000284,-0.020000000000000018,0.012669419999999931,0.08999999999999986,-0.03979206229686505,0.15872125630959055,1.59,5.0,7.0,0.82,0.0,0.0075248880394787054,-0.007308398440659225,-0.09306122448979592,-0.04369469026548667,0.0,8.120418423018805e-05,-0.0026302819380601417,0.05596977830798289
2016-04-29,0.04999999999999999,0.010000000000000009,1.8930000000000007,0.07000000000000006,0.07000000000000006,-0.39999999999999947,-0.10000000000000142,-0.05999999999999997,-0.20613473999999998,-0.04999999999999982,0.061793100271269275,0.046466602129719314,1.58,5.1,6.7,0.48,0.03,0.010718896514235299,0.00281289368545079,0.046804680468046866,0.021631000578369086,-0.09090909090909094,-0.001860162985709235,0.00395582784963322,-0.0537563547354547
2016-05-31,-0.010000000000000009,0.0,1.84699999999998,-0.020000000000000018,0.040000000000000036,-0.2999999999999998,-0.19999999999999574,0.04000000000000001,0.06837715,-0.020000000000000018,-0.015153427467066383,0.0818686401480111,1.53,4.8,4.6,0.38,-0.03,0.010347512843353002,-0.0021844904226698825,-0.012897678417884806,0.0018682065217390242,0.020000000000000018,-0.0005102795444460462,0.0037970964266611507,-0.028852850462640522
